date,global_id,zeitgeist_rank,clean_title,source,description,nyt_section,web_url,pillar,gemini_used
2025-01-04,2025-01-04_8,8,Pick-Me-Up Poke Bowls,The New York Times,"And more easy, breezy recipes, reminders that cooking is equally joyful when it’s just for you as when it’s for a home full of holiday revelers.",Food,https://www.nytimes.com/2025/01/04/dining/poke-bowls.html,Lifestyle & Wellness,False
2025-01-04,2025-01-04_9,9,How We Grow Our Food,The New York Times,Readers disagree with an essay about factory farms.,Opinion,https://www.nytimes.com/2025/01/04/opinion/letters/factory-farms.html,Lifestyle & Wellness,True
2025-01-04,2025-01-04_10,10,"Final Respects Begin, From Georgia to Washington",The New York Times,"Days of honoring the 39th president began on Saturday with stops at his childhood farm, the Georgia State Capitol and the Carter Center.",U.S.,https://www.nytimes.com/2025/01/04/us/jimmy-carter-memorial-georgia-washington.html,Politics & Civic Life,False
2025-01-03,2025-01-03_1,1,Biden Honors Police Officers and Veterans With Medals at White House,The New York Times,"The president recognized five officers who responded to a 2023 school shooting at a private Christian school in Tennessee, and veterans of the Korean and Vietnam wars.",U.S.,https://www.nytimes.com/2025/01/03/us/politics/biden-presidential-medals-officers.html,Politics & Civic Life,False
2025-01-03,2025-01-03_2,2,List of Victims in New Orleans Attack Includes Many Young Adults,The New York Times,Those who died after a man drove a pickup through the French Quarter highlighted the diverse mix of people who are drawn to the city.,U.S.,https://www.nytimes.com/2025/01/03/us/new-orleans-victims-truck-attack.html,Politics & Civic Life,False
2025-01-03,2025-01-03_3,3,"With Speaker Drama and Family Photos, New Congress Gets Off to a Wobbly Start",The New York Times,There was a first-day-of-school energy on Capitol Hill as members of Congress took their oaths and Speaker Mike Johnson fought for his job.,U.S.,https://www.nytimes.com/2025/01/03/us/politics/119th-congress-scene.html,Politics & Civic Life,False
2025-01-03,2025-01-03_4,4,Honduras Threatens to Expel U.S. Military as Latin America Gears Up for Trump Deportations,The New York Times,"In pushing back against President-elect Donald J. Trump’s plan, President Xiomara Castro threatened that a base hosting U.S. troops could “lose all reason to exist in Honduras.”",World,https://www.nytimes.com/2025/01/03/world/americas/honduras-trump-mass-deportations.html,Politics & Civic Life,False
2025-01-03,2025-01-03_5,5,House G.O.P. Vows to Expand Drilling and Make It Easier to Shed Federal Lands,The New York Times,The newly elected Speaker said the party would make it a priority to “restore America’s energy dominance.”,Climate,https://www.nytimes.com/2025/01/03/climate/republicans-federal-land-drilling.html,Science & Technology,False
2025-01-03,2025-01-03_6,6,TikTok and U.S. Clash on China’s Influence in Last Round of Supreme Court Briefs,The New York Times,"The briefs, filed a week before oral arguments, offered sharply differing accounts of China’s influence over the site and the role of the First Amendment.",U.S.,https://www.nytimes.com/2025/01/03/us/politics/tiktok-ban-supreme-court.html,Politics & Civic Life,False
2025-01-03,2025-01-03_7,7,Justice Dept. Reaches Deal To Monitor a Jail in Georgia,The New York Times,"The facility in Fulton County, Georgia, has long had problems with assaults, drugs and pests.",U.S.,https://www.nytimes.com/2025/01/03/us/politics/justice-dept-fulton-county-jail.html,Politics & Civic Life,False
2025-01-03,2025-01-03_8,8,How Much Alcohol Does It Take to Raise Your Cancer Risk?,The New York Times,The surgeon general cautioned the public on Friday that even light or moderate drinking is harmful.,Well,https://www.nytimes.com/2025/01/03/well/alcohol-cancer-risk.html,Lifestyle & Wellness,False
2025-01-03,2025-01-03_9,9,"Marie Winn, 88, Author Who Told a Hawk’s Tale",The New York Times,"She chronicled the melodrama of Pale Male, a red-tailed hawk who became an avian sensation as it took up residence atop a Manhattan apartment building.",New York,https://www.nytimes.com/2025/01/03/nyregion/marie-winn-dead.html,Entertainment & Pop Culture,True
2025-01-03,2025-01-03_10,10,"A Judge Upheld Trump’s Felony Conviction, but Signaled No Jail Time",The New York Times,"Also, Mike Johnson was re-elected as House speaker. Here’s the latest at the end of Friday.",Briefing,https://www.nytimes.com/2025/01/03/briefing/judge-sentencing-donald-trump-warnings-alcohol.html,Politics & Civic Life,True
2025-01-02,2025-01-02_1,1,Here’s the latest on South Korea’s political crisis.,The New York Times,"The authorities are seeking to detain President Yoon Suk Yeol for questioning over his declaration of martial law, which plunged the country into a political crisis.",World,https://www.nytimes.com/live/2025/01/02/world/south-korea-president-yoon-suk-yeol/south-korea-president-yoon-suk-yeol,Politics & Civic Life,False
2025-01-02,2025-01-02_2,2,"Mary Anne Krupsak, 92, First Woman To Be New York’s Lieutenant Governor",The New York Times,"She was the first woman elected lieutenant governor in the state after defying party leaders and her eventual running mate, Hugh Carey, to win the nomination.",New York,https://www.nytimes.com/2025/01/02/nyregion/mary-anne-krupsak-dead.html,Politics & Civic Life,True
2025-01-02,2025-01-02_3,3,N.Y. Attorney General Says She Will Recuse Herself in Case of Fatal Prison Beating,The New York Times,"Letitia James, the attorney general, said a special prosecutor would lead an investigation into the deadly attack on Robert Brooks because her office had a possible conflict of interest.",New York,https://www.nytimes.com/2025/01/02/nyregion/robert-brooks-prison-death-letitia-james.html,Politics & Civic Life,True
2025-01-02,2025-01-02_4,4,F.B.I. Offers New Details in Search for the Jan. 6 Pipe Bomb Suspect,The New York Times,"Four years later, the largest lingering mystery of the Capitol riot remains unsolved.",U.S.,https://www.nytimes.com/2025/01/02/us/politics/fbi-capitol-riot-pipe-bomb-suspect.html,Politics & Civic Life,False
2025-01-02,2025-01-02_5,5,Letter Carrier Is Fatally Stabbed at a Bodega in Harlem,The New York Times,"The stabbing arose from a dispute over who was first in line, an official said. A suspect was arrested and charged with second-degree murder.",New York,https://www.nytimes.com/2025/01/02/nyregion/postal-worker-stabbed-harlem-bodega.html,Politics & Civic Life,True
2025-01-02,2025-01-02_6,6,F.B.I. ‘Confident’ Driver In Attack Didn’t Have Help,The New York Times,"They also said they did not see a “definitive link” between the attack and an explosion at a Trump hotel in Las Vegas, but cautioned that it’s too early to be sure.",U.S.,https://www.nytimes.com/2025/01/02/us/new-orleans-terror-truck-attack.html,Politics & Civic Life,False
2025-01-02,2025-01-02_7,7,Investigators Said the New Orleans Attacker Acted Alone,The New York Times,"Also, Speaker Johnson is trying to unite Republicans behind him. Here’s the latest at the end of Thursday.",Briefing,https://www.nytimes.com/2025/01/02/briefing/new-orleans-attack-speaker-johnson-vote.html,Politics & Civic Life,True
2025-01-02,2025-01-02_8,8,Biden Celebrates a Milestone on Judicial Confirmations After a Major Push by Democrats,The New York Times,"In remarks on Thursday, the president praised Senate Democrats for helping him confirm 235 federal judges, surpassing Donald J. Trump’s first-term total.",U.S.,https://www.nytimes.com/2025/01/02/us/politics/biden-judicial-confirmations.html,Politics & Civic Life,False
2025-01-02,2025-01-02_9,9,Fans Observe Moment of Silence Before Sugar Bowl Kickoff in New Orleans,The New York Times,"Those who stuck around for the game said they were not worried about another attack. “You’ve just got to be smart and keep moving forward,” one fan said.",U.S.,https://www.nytimes.com/2025/01/02/us/sugar-bowl-new-orleans-attack.html,Politics & Civic Life,False
2025-01-02,2025-01-02_10,10,What to See in N.Y.C. Galleries in January,The New York Times,"This week in Newly Reviewed, Will Heinrich covers Raoul De Keyser’s elegance, Nicola Tyson’s camp sincerity, Susan Fortgang’s bright geometry and Dietmar Busse’s uncanny New York.",Arts,https://www.nytimes.com/2025/01/02/arts/nyc-galleries-january.html,Entertainment & Pop Culture,False
2025-01-01,2025-01-01_1,1,"Palestinian Authority Suspends Al Jazeera, in Latest Blow to Channel",The New York Times,"The authority’s official news media accused the Qatari-backed broadcaster of “inciting sedition” and “interfering in internal Palestinian affairs,” though it did not provide detailed examples of law breaking.",World,https://www.nytimes.com/2025/01/01/world/middleeast/palestinian-authority-al-jazeera.html,Politics & Civic Life,False
2025-01-01,2025-01-01_2,2,American Teenager Fighting for His Life After Ambush in Mexico Kills 3,The New York Times,"Jason Peña, now 14, was shot in the head on a highway in the state of Durango, a family spokeswoman said. His father and uncle, both U.S. citizens, and a Mexican relative were also killed.",World,https://www.nytimes.com/2025/01/01/world/americas/americans-killed-durango-mexico.html,Politics & Civic Life,False
2025-01-01,2025-01-01_3,3,"Montenegro Shooting Kills 12, Including 2 Children, Officials Say",The New York Times,"The authorities in the small Balkan country reported after a search that the gunman, whose rampage followed a bar fight, had been found dead.",World,https://www.nytimes.com/2025/01/01/world/europe/montenegro-shooting.html,Politics & Civic Life,False
2025-01-01,2025-01-01_4,4,"Amid New Orleans Attack, Telltale Signs of Islamic State’s Brutal Legacy",The New York Times,"The terror group has lost its territorial stronghold, but it still orchestrates and inspires violence through affiliates across Africa and beyond.",World,https://www.nytimes.com/2025/01/01/world/middleeast/isis-islamic-state.html,Politics & Civic Life,False
2025-01-01,2025-01-01_5,5,The attack was the deadliest in the U.S. in more than a year.,The New York Times,"Less than a month ago, New York State authorities charged Luigi Mangione with an act of terrorism in the killing of a health care executive in a shooting in Midtown Manhattan.",U.S.,https://www.nytimes.com/live/2025/01/01/us/new-orleans-vehicle-crash/terror-attacks,Politics & Civic Life,False
2025-01-01,2025-01-01_6,6,Stream These 11 Titles Before They Leave Netflix in January,The New York Times,"A bunch of great titles depart this month for U.S. subscribers, including a few beloved TV series and several acclaimed comedy and horror movies.",Arts,https://www.nytimes.com/2025/01/01/arts/television/netflix-leaving-movies-tv-january.html,Entertainment & Pop Culture,False
2025-01-01,2025-01-01_7,7,Trump Falsely Suggested New Orleans Suspect Was an Immigrant,The New York Times,The president-elect said on social media that he was right about fearing criminals on the other side of the border. Officials later identified the suspect as a U.S.-born citizen and Army veteran.,U.S.,https://www.nytimes.com/2025/01/01/us/politics/trump-new-orleans.html,Politics & Civic Life,False
2025-01-01,2025-01-01_8,8,New Orleans Attacker Evaded a Security System Under Repair,The New York Times,Bollards that normally protect pedestrians from vehicles were to be replaced as part of the city’s preparations for the Super Bowl next month. The attacker drove his pickup around a police vehicle parked to block traffic from the street he struck.,U.S.,https://www.nytimes.com/2025/01/01/us/new-orleans-attack-security-system-under-repair.html,Politics & Civic Life,False
2025-01-01,2025-01-01_9,9,Officials Trying to Determine if New Orleans Suspect Had Ties to Terrorist Groups,The New York Times,"U.S. officials have warned that the conflict in Gaza and Lebanon could spill into the United States, most likely in the form of small radicalized groups acting on their own initiative or lone-wolf terrorists.",U.S.,https://www.nytimes.com/2025/01/01/us/politics/new-orleans-attack-terrorism.html,Politics & Civic Life,False
2025-01-01,2025-01-01_10,10,Outspoken N.Y.P.D. Official Is Appointed to the Position Of Top Uniformed Officer,The New York Times,"Chief John Chell, a 30-year veteran of the Police Department, has publicly sparred with members of the media and liberal politicians.",New York,https://www.nytimes.com/2025/01/01/nyregion/outspoken-nypd-chief-is-tapped-for-top-uniformed-position.html,Politics & Civic Life,True
